Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
nii_6584_flux,cond+z,0.6799466598435283,0.6800994255303892,0.00414891499142459,0.6711968227583816,0.6870960654769237,0.3194819897747219,0.3190229786403289,0.006208094867296084,0.3087836793174208,0.33342588232075787,0.009213164003693299,"[-0.21314564934144128, 0.08822784880186753, 0.2738103779103676, -0.14576156541790705, 0.1853305391194197, 0.28450685098181755, -0.051646701948624474, 0.5680207770448863, 0.014574680757040562, 0.29894720376180095, -0.23553500945543365]"
oiii_5007_flux,orig,0.5150714393735434,0.5152006609865147,0.00408096338475774,0.506794704530642,0.5229526452933451,0.4782065166565236,0.47792001037665166,0.006634930187207891,0.4654799457058093,0.4915359649746427,0.5479034009818876,"[-0.6912007134536184, 0.6808260122824283, 2.152756003519377, 0.43185998234239925, 0.1861739358657304, 1.454540313339142, -0.6994306197352707, 1.6740084161032311, 0.16552341773690138, -1.7918007716963724]"
oiii_5007_flux,cond,0.38962772606545465,0.3895985722981317,0.003989630301876079,0.38173118792648725,0.39731862274631313,0.6016520069053817,0.6017791360218757,0.0070224682338778655,0.5881896351109727,0.614915818323937,0.015309840558318608,"[-0.13006369646275975, 0.13415008402268208, 0.26048742694268057, 0.05602861115854306, 0.14343604365038792, 0.33896936465171434, -0.004796083718603433, 0.4097289110992458, 0.0462288135859449, -0.0063180223519809925]"
oiii_5007_flux,uncond,0.4263246769630971,0.4262554497002491,0.003892968882674311,0.4190123568124519,0.43400156228050574,0.5653606036957626,0.5656029924759434,0.006686711743911205,0.552335537182094,0.5781264540832464,-0.018736887681016896,"[-0.2300230239645011, 0.15899678586532162, 0.23819168916149216, -0.011174697996518754, 0.20257614632940973, 0.3576924547287338, -0.14430778178161385, 0.3819136945567129, -0.07259191694876181, -0.0973847705493707]"
oiii_5007_flux,cond+z,0.5095306209195329,0.5098031998083232,0.0038154437866544442,0.5017212477619266,0.5167172846016916,0.48344803140261094,0.4833077746249876,0.006194344510073934,0.47118097301704703,0.49539596740619374,0.015169894268397212,"[-0.1267951871230195, 0.12961855937892452, 0.2598777189933663, 0.04226290193178982, 0.14590298263473775, 0.3394129259165467, -0.004894011820793992, 0.39819310278058934, 0.06424320001729344, -0.003532293108808447, -0.34306773584452616]"
h_beta_flux,orig,0.6630927614437048,0.6631795972162429,0.0033813002472364716,0.6559949954960537,0.6693330309315731,0.3389197350719114,0.33875169468450994,0.0054819464193817296,0.3286007503579578,0.3499532783819278,0.14530595018050907,"[-1.0939013582837345, -0.30721046790230233, 1.628441901929631, 0.0227701812221017, 0.7055470644277085, 0.3516234575207994, -1.1151722840507283, 1.192495377623858, -0.14819227623380626, 0.82564945580976]"
h_beta_flux,cond,0.5157279524307649,0.5158351659402487,0.003900390415219482,0.5083758804764801,0.5232837631423317,0.4870364430018935,0.48708229486840826,0.006193771706609447,0.47554270023782974,0.4992483625902059,0.0073912538100814685,"[-0.3372181237636652, 0.013430257335184603, 0.1698860613610438, -0.04931584526983943, 0.22970307706834608, 0.29298165382675145, -0.12638819897708045, 0.41530545951722947, -0.06784282895280568, 0.2988405758045768]"
h_beta_flux,uncond,0.5953335893320664,0.5952210782733494,0.003923557049186574,0.5878154232516248,0.6031330480193424,0.40722962031015586,0.40701770263285136,0.0056978174828994695,0.39636999996698813,0.41873221275578154,-0.06823059130037581,"[-0.43162775679199217, 0.040721978569003225, 0.15545484674550242, -0.10865804428633499, 0.29497978745516756, 0.3203910143480143, -0.24647618523420525, 0.3995553250082754, -0.1673540950882725, 0.24109849682139176]"
h_beta_flux,cond+z,0.6397990618314805,0.6397124605852209,0.0035741826438494733,0.6329295092685946,0.6464980792366566,0.3621119435539366,0.3620605712822479,0.005348552312440806,0.35233892317508747,0.37275938401058023,0.007431125576321013,"[-0.34023989239663127, 0.008121002526688348, 0.1694219746605347, -0.06470046985806983, 0.2332453663201218, 0.2950359222429307, -0.1299159083464837, 0.41085100142619424, -0.04782189461064492, 0.3046658547549135, -0.3542835171191725]"
h_delta_flux,orig,0.41809404516545284,0.4180718015002518,0.004457923274642179,0.4092094415923333,0.426677240293308,0.5678739547206804,0.567918344620205,0.008817710757175232,0.5502456503391905,0.585016691613713,0.1240343255582431,"[-1.3567829184071023, -0.5513830538347776, 1.3352218250936179, 0.41180207563556986, 1.2113938154626058, -0.11766606014334516, -1.2503769035353922, 0.6138238060860355, 0.40369041898858654, 0.4796760040620579]"
h_delta_flux,cond,0.28280695413113743,0.2827801272774722,0.004584166670721511,0.27450281893895717,0.2921511149615177,0.6995983256214945,0.6998769295186268,0.00943229642084999,0.6815315329134861,0.7181690393979903,-0.06534298404444293,"[-0.2774083950188256, -0.004039968163600249, 0.143812020136527, -0.009093207457619927, 0.23009717998796875, 0.2071024222016466, -0.09989518941945749, 0.23092293936271152, -0.054977559039240606, 0.23382159639313643]"
h_delta_flux,uncond,0.3449951138588355,0.3449847819947446,0.004512898393023437,0.33633074384327727,0.3540234451224429,0.6396229143708854,0.6393672834041738,0.009177536840815556,0.622040914997053,0.658230896253665,-0.14925978359475994,"[-0.37172281148336006, 0.017375114789484447, 0.11696736851751265, -0.06189168963977252, 0.29376472669768655, 0.2282856984600734, -0.21709316116070138, 0.22391378675059148, -0.1459099703093874, 0.18550928588337323]"
h_delta_flux,cond+z,0.3795351485913698,0.3797805668127399,0.004839993118360459,0.3702856020070768,0.3892730358896052,0.6052871831717862,0.6054015629883063,0.00912870611460677,0.588422375931609,0.6236571116107869,-0.0656049260436104,"[-0.28206959928670955, -0.003307024116152135, 0.14133970703951088, -0.025971918121639785, 0.2374771993287179, 0.20708982535465512, -0.10469623300021354, 0.22489811436820098, -0.039413443803326315, 0.24203253639161787, -0.3124319332569041]"
lgm_tot_p50,orig,0.7759791732977118,0.7761366073057453,0.0029216097875164404,0.7700110177994791,0.7813504498390117,0.2223757542052852,0.22237568098062538,0.002868984676175915,0.2169430460915301,0.22824741685418193,-0.15533409847268864,"[0.7272492193673595, -0.09131851356187481, 1.2776672509461915, 0.47113371767199264, 0.607530733469671, -0.10468313484115899, 0.8699238610441133, -0.3721724975206429, 1.7031352056940317, 1.6642012962489305]"
lgm_tot_p50,cond,0.26023932793127563,0.2603260399046269,0.003370917970085636,0.25346926666439495,0.26660584549840155,0.7347290293654676,0.7348425609639726,0.006184263862907789,0.7225965829649457,0.747276155676203,-0.05291062073386312,"[0.15247372027999959, -0.029835101102898935, 0.17266606824278663, -0.08798909408799267, -0.12292345166427057, -0.20140665103101033, 0.10722164725954439, -0.05758816558218813, 0.3485400412164446, 0.07972335038475192]"
lgm_tot_p50,uncond,0.6863903439135143,0.6864541829051591,0.0028218731920011527,0.6806981649235262,0.6916560843617071,0.31130016118510606,0.311182080128685,0.0034002801715546102,0.305114221383891,0.3178898289848451,-0.0016584148533611977,"[0.31681182688784804, -0.08478918698135451, 0.277758492127156, -0.0076927137539333675, -0.22321117113415, -0.2781955119091619, 0.31243359410506094, -0.0036951138120415172, 0.5629147447751872, 0.21152736711774597]"
lgm_tot_p50,cond+z,0.764375133714243,0.7644174529728727,0.0020360558307721036,0.7604945537332104,0.7682028989102886,0.23392384812717176,0.2338306640782581,0.0027405529682148545,0.22897464964380523,0.2394955628915688,-0.05027419128131759,"[0.14375541258904007, -0.015522619157388645, 0.17588826781319142, -0.059271801700822586, -0.12805743597200367, -0.1972103162009937, 0.10916038618603216, -0.027363031187216377, 0.3106580210375339, 0.0724599562098201, 0.7117181502816574]"
sfr_tot_p50,orig,0.6407174270469186,0.6408187033867382,0.002902322193113462,0.6351961478289264,0.6462795383443343,0.35956210083243045,0.3594471155042821,0.0030277321184082736,0.3539773885943192,0.3655142259463104,-0.4953545954386835,"[0.34552858470733905, 0.543086453880397, 0.19779348353374132, -0.4731360037351085, 0.18678873088329628, 0.9729034686367398, 0.49203652842843026, 0.9104722164186743, -0.4198752322136837, 3.086504731506178]"
sfr_tot_p50,cond,0.5868094120446254,0.5868053616473925,0.0029718879706289803,0.5806977050131457,0.5925935029594,0.41372342288114156,0.41378588209544204,0.003107977901841828,0.40752426074416676,0.41980161490330425,0.0755663656625216,"[-0.34732527533944196, 0.06532144239901128, -0.001300070770575125, -0.16348471620950947, 0.18234991235073064, 0.243540604070045, -0.14401010692790414, 0.3917231233964863, -0.20619047141537725, 0.3640487098671622]"
sfr_tot_p50,uncond,0.5630615748286978,0.5631383555829927,0.003002812997219263,0.5571078347733509,0.56865543223105,0.4372732793330351,0.4372147422605064,0.0031286361363550793,0.43126155038979147,0.4434521751476867,-0.004986962912941916,"[-0.28446669609512515, 0.05087297305424756, 0.05728636354413291, -0.10965130571360918, 0.17153727316617423, 0.257750619565024, -0.037913349216654554, 0.41513131297952804, -0.12092246266665016, 0.45713481997609795]"
sfr_tot_p50,cond+z,0.6135019281066295,0.6135115091906551,0.0029137026536055406,0.6077935171448522,0.6190620462674788,0.3869048078070897,0.3869116271645305,0.0027893539826625516,0.3815637650342431,0.3923611646024825,0.07616458584154628,"[-0.34941602797714566, 0.06861346857907996, -0.0005338555258847522, -0.15686193519247388, 0.18134768444002497, 0.24459406849445559, -0.14361053374091937, 0.39878131213706686, -0.21496230230381733, 0.3623610626721749, 0.16454364188046763]"
